name,gender
Banu,F
Barkha,F
Barsha,F
Baruni,F
Basabi,F
Basanti,F
Bavishya,F
Beena,F
Bel,F
Bela,F
Belli,F
Bethina,F
Bhadrusha,F
Bhagavathi,F
Bhagavati,F
Bhagini,F
Bhagirathi,F
Bhagwanti,F
Bhagwati,F
Bhagya,F
Bhagyalakshmi,F
Bhagyashri,F
Bhagyavi,F
Bhagyawati,F
Bhairavi,F
Bhakti,F
Bhama,F
Bhamini,F
Bhandhavi,F
Bhanuja,F
Bhanumati,F
Bhanuni,F
Bhanupriya,F
Bhanusri,F
Bharathi,F
Bharati,F
Bharavi,F
Bhargavi,F
Bharti,F
Bhaskari,F
Bhaumi,F
Bhavana,F
Bhavani,F
Bhavi,F
Bhavika,F
Bhavini,F
Bhavna,F
Bhavukta,F
Bhavya,F
Bhavyasri,F
Bhawna,F
Bheema,F
Bhini,F
Bhooma,F
Bhoomi,F
Bhoomika,F
Bhrithi,F
Bhruhanth,F
Bhumika,F
Bhupali,F
Bhuvana,F
Bhuvaneshwari,F
Bhuvaneswari,F
Bhuvi,F
Bianca,F
Bidisha,F
Bijali,F
Bijli,F
Bilvanilaya,F
Bimala,F
Bimbi,F
Bina,F
Bindhiya,F
Bindiya,F
Bindu,F
Binita,F
Binu,F
Bipasha,F
Bishakha,F
Bobby,F
Bodhi,F
Brijabala,F
Brinda,F
Briti,F
Buddhi,F
Bulbul,F
Cauvery,F
Chaaya,F
Chadna,F
Chahana,F
Chahna,F
Chairavali,F
Chaitali,F
Chaitaly,F
Chaitra,F
Chakori,F
Chakrika,F
Chalama,F
Chameli,F
Chamini,F
Champa,F
Champabati,F
Champakali,F
Champakavathi,F
Champakmala,F
Champamalini,F
Champika,F
Chanasya,F
Chanchala,F
Chanchari,F
Chanda,F
Chandalini,F
Chandana,F
Chandani,F
Chandanika,F
Chandi,F
Chandika,F
Chandini,F
Chandni,F
Chandrabali,F
Chandrabhaga,F
Chandrabindu,F
Chandraharika,F
Chandraja,F
Chandrajyoti,F
Chandrakala,F
Chandrakali,F
Chandrakanti,F
Chandraki,F
Chandrakin,F
Chandralekha,F
Chandraleksha,F
Chandramathi,F
Chandramukhi,F
Chandrani,F
Chandraprabha,F
Chandrapushpa,F
Chandrarupa,F
Chandrasahodari,F
Chandratara,F
Chandravadana,F
Chandravathi,F
Chandrika,F
Chandrima,F
Changuna,F
Chapala,F
Chara,F
Charita,F
Charitra,F
Charitrya,F
Charmi,F
Charula,F
Charulata,F
Charulekha,F
Charumati,F
Charunetra,F
Charuprabha,F
Charusheela,F
Charusila,F
Charuta,F
Charvi,F
Chatura,F
Chaturbhuja,F
Chaturya,F
Chaunta,F
Chayana,F
Chayla,F
Chellam,F
Chelsea,F
Chetana,F
Chetna,F
Chhabi,F
Chhavi,F
Chhavvi,F
Chhaya,F
Chimayi,F
Chinmayi,F
Chintana,F
Chintanika,F
Chiti,F
Chitkala,F
Chitra,F
Chitragandha,F
Chitrakshi,F
Chitralekha,F
Chitrali,F
Chitramala,F
Chitramaya,F
Chitrangada,F
Chitrani,F
Chitrarathi,F
Chitrarekha,F
Chitrathi,F
Chitrita,F
Chumban,F
Chunni,F
Dadhija,F
Daksha,F
Dakshakanya,F
Dakshata,F
Dakshayani,F
Dakshina,F
Dalaja,F
Damayanti,F
Damini,F
Damma,F
Damyanti,F
Daridriyanashini,F
Darika,F
Darpana,F
Darpanika,F
Darsha,F
Darshana,F
Darshini,F
Darshita,F
Daya,F
Dayamayee,F
